REG_ANS,operadora,nome_fantasia,uf,cidade,grupo_comparacao
417661,CAIXA DE ASSISTÊNCIA À SAÚDE DO SINDICATO DOS FUNCIONÁRIOS INTEGRANTES DO GRUPO OCUPACIONAL ADMINISTRAÇÃO TRIBUTÁRIA DO ESTADO DE PERNAMBUCO,FISCO SAÚDE-PE,PE,Recife,Outras autogestões
421341,CAIXA DE ASSISTÊNCIA À SAÚDE DOS SERVIDORES PÚBLICOS DO ESTADO DO MATO GROSSO DO SUL,UNISAÚDEMS ,MS,Campo Grande,Outras autogestões
419851,"CAIXA DE ASSISTÊNCIA À SAÚDE DOS TRABALHADORES NAS INDÚSTRIAS METALÚRGICAS, MECÂNICAS E DO MATERIAL ELÉTRICO DE BRUSQUE",SINTIMMMEB SAÚDE,SC,Brusque,Outras autogestões
324477,CAIXA DE PREVIDÊNCIA E ASSISTÊNCIA DOS SERVIDORES DA FUNDAÇÃO NACIONAL DE SAÚDE - CAPESESP,CAPESESP,RJ,Rio de Janeiro,Fundação de previdência
312924,CAIXA ECONÔMICA FEDERAL,CAIXA,DF,Brasília,Outras autogestões
339270,CELULOSE NIPO-BRASILEIRA S/A - CENIBRA,CENIBRA,MG,Belo Oriente,Outras autogestões
417505,CEMIG SAÚDE,CEMIG SAÚDE,MG,Belo Horizonte,Outras autogestões
422436,CENIBRA LOGÍSTICA LTDA,CENIBRA LOG,MG,Belo Oriente,Outras autogestões
324892,CETESB - COMPANHIA AMBIENTAL DO ESTADO DE SÃO PAULO,CETESB,SP,São Paulo,Outras autogestões
423963,CLARO S.A,CLARO,SP,São Paulo,Outras autogestões
419796,COMPANHIA DAS DOCAS DO ESTADO DA BAHIA - CODEBA,CODEBA,BA,Salvador,Outras autogestões
330051,COMPANHIA DE ENGENHARIA DE TRAFEGO - CET,,SP,São Paulo,Outras autogestões
392405,COMPANHIA ESPIRITO SANTENSE DE SANEAMENTO,CESAN,ES,Vitória,Outras autogestões
334189,COMPANHIA NACIONAL DE ABASTECIMENTO - CONAB,COMPANHIA NACIONAL DE ABASTECIMENTO - C0NAB,DF,Brasília,Outras autogestões
390259,COMSEDER - COOPERATIVA DE ASSISTÊNCIA MÉDICA DOS SERVIDORES DA SUPLAN E DO DER LTDA,COMSEDER,PB,João Pessoa,Outras autogestões
404241,COOPERATIVA DOS USUÁRIOS DE SERVIÇOS DE SAÚDE DO VALE DO RIO DOS SINOS LTDA,COOPERSINOS LTDA,RS,São Leopoldo,Outras autogestões
416118,DANA INDUSTRIAS LTDA.,,SP,Sorocaba,Outras autogestões
357669,DESBAN - FUNDAÇÃO BDMG DE SEGURIDADE SOCIAL,DESBAN,MG,Belo Horizonte,Fundação de previdência
342611,ECONOMUS INSTITUTO DE SEGURIDADE SOCIAL,,SP,São Paulo,Outras autogestões
422070,ELETROS SAÚDE - ASSOCIAÇÃO DE ASSISTÊNCIA À SAÚDE,ELETROS-SAÚDE,RJ,Rio de Janeiro,Outras autogestões
417297,ELOSAÚDE - ASSOCIAÇÃO DE ASSISTÊNCIA À SAÚDE,ELOSAÚDE,SC,Florianópolis,Outras autogestões
400891,EMPRESA BRASILEIRA DE INFRA-ESTRUTURA AEROPORTUÁRIA,INFRAERO,DF,Brasília,Outras autogestões
423777,FEBRAFITE SAUDE,FEBRAFITE SAUDE,DF,Brasília,Outras autogestões
329665,FUNDACAO CAPITAL PREVIDENCIA E SAUDE - CAPITAL PREV,CAPITAL PREV - FUNDACAO CAPITAL PREVIDENCIA E SAUDE,ES,Vitória,Fundação de previdência
